Id,Predictions
0,real
1,real
2,real
3,fake
4,real
5,real
6,real
7,real
8,real
9,real
10,fake
11,real
12,real
13,real
14,real
15,real
16,real
17,real
18,real
19,fake
20,real
21,real
22,real
23,real
24,real
25,real
26,fake
27,real
28,real
29,fake
30,real
31,real
32,real
33,real
34,real
35,real
36,real
37,real
38,real
39,fake
40,real
41,real
42,real
43,real
44,real
45,real
46,fake
47,real
48,real
49,real
50,real
51,real
52,real
53,real
54,real
55,real
56,real
57,real
58,real
59,real
60,real
61,real
62,real
63,real
64,real
65,real
66,real
67,fake
68,real
69,real
70,real
71,fake
72,real
73,real
74,fake
75,real
76,real
77,real
78,real
79,real
80,real
81,real
82,real
83,real
84,fake
85,real
86,real
87,real
88,real
89,real
90,fake
91,real
92,fake
93,real
94,real
95,real
96,fake
97,real
98,fake
99,fake
100,fake
101,real
102,real
103,real
104,real
105,real
106,real
107,real
108,real
109,real
110,real
111,real
112,fake
113,real
114,real
115,real
116,fake
117,real
118,real
119,fake
120,real
121,real
122,real
123,real
124,real
125,real
126,real
127,real
128,real
129,real
130,real
131,real
132,real
133,fake
134,real
135,real
136,real
137,real
138,fake
139,real
140,real
141,real
142,real
143,real
144,fake
145,real
146,fake
147,real
148,real
149,real
150,real
151,real
152,fake
153,fake
154,real
155,fake
156,real
157,real
158,real
159,real
160,real
161,real
162,real
163,real
164,real
165,fake
166,real
167,real
168,real
169,real
170,fake
171,fake
172,real
173,real
174,real
175,real
176,real
177,real
178,real
179,real
180,fake
181,real
182,fake
183,real
184,fake
185,real
186,real
187,real
188,real
189,fake
190,real
191,fake
192,fake
193,fake
194,real
195,real
196,real
197,real
198,real
199,real
200,fake
201,real
202,real
203,real
204,real
205,real
206,real
207,real
208,fake
209,real
210,real
211,real
212,real
213,real
214,real
215,real
216,real
217,real
218,real
219,fake
220,real
221,fake
222,real
223,real
224,fake
225,fake
226,real
227,real
228,real
229,real
230,real
231,fake
232,real
233,real
234,real
235,real
236,real
237,real
238,fake
239,real
240,fake
241,real
242,real
243,real
244,real
245,real
246,real
247,real
248,fake
249,fake
250,real
251,real
252,fake
253,real
254,real
255,real
256,real
257,real
258,real
259,real
260,real
261,real
262,fake
263,fake
264,fake
265,real
266,real
267,real
268,real
269,real
270,fake
271,fake
272,real
273,fake
274,real
275,real
276,real
277,real
278,fake
279,real
280,real
281,real
282,real
283,fake
284,fake
285,real
286,fake
287,real
288,real
289,real
290,real
291,real
292,real
293,fake
294,fake
295,real
296,real
297,fake
298,real
299,real
300,real
301,real
302,fake
303,real
304,real
305,real
306,real
307,fake
308,real
309,fake
310,real
311,real
312,real
313,real
314,fake
315,real
316,real
317,real
318,real
319,real
320,real
321,fake
322,real
323,fake
324,real
325,real
326,real
327,fake
328,real
329,real
330,real
331,real
332,real
333,real
334,real
335,fake
336,real
337,real
338,real
339,real
340,real
341,real
342,real
343,real
344,real
345,real
346,real
347,real
348,real
349,real
350,real
351,real
352,fake
353,real
354,real
355,real
356,fake
357,real
358,real
359,real
360,real
361,real
362,real
363,real
364,real
365,real
366,real
367,real
368,real
369,real
370,real
371,real
372,real
373,fake
374,real
375,real
376,real
377,real
378,fake
379,fake
380,real
381,real
382,real
383,real
384,real
385,fake
386,real
387,real
388,real
389,real
390,fake
391,real
392,real
393,real
394,real
395,real
396,real
397,real
398,real
399,real
400,real
401,real
402,real
403,real
404,fake
405,fake
406,real
407,real
408,real
409,fake
410,real
411,real
412,fake
413,real
414,fake
415,real
416,real
417,real
418,real
419,fake
420,real
421,real
422,real
423,real
424,fake
425,real
426,real
427,real
428,real
429,real
430,fake
431,real
432,fake
433,real
434,fake
435,real
436,real
437,fake
438,fake
439,fake
440,real
441,fake
442,real
443,real
444,real
445,real
446,real
447,real
448,fake
449,real
450,real
451,real
452,real
453,real
454,fake
455,fake
456,real
457,real
458,fake
459,real
460,real
461,real
462,real
463,real
464,real
465,real
466,real
467,real
468,fake
469,real
470,real
471,fake
472,fake
473,real
474,real
475,real
476,real
477,real
478,real
479,fake
480,real
481,real
482,real
483,real
484,real
485,real
486,fake
487,real
488,real
489,real
490,real
491,real
492,real
493,real
494,real
495,real
496,real
497,real
498,real
499,real
500,real
501,real
502,real
503,real
504,real
505,real
506,real
507,real
508,real
509,real
510,real
511,real
512,real
513,real
514,fake
515,real
516,real
517,real
518,real
519,real
520,fake
521,fake
522,real
523,real
524,real
525,real
526,fake
527,fake
528,fake
529,real
530,real
531,real
532,real
533,real
534,fake
535,real
536,real
537,fake
538,real
539,real
540,real
541,real
542,real
543,real
544,real
545,real
546,real
547,real
548,fake
549,real
550,real
551,real
552,real
553,real
554,real
555,fake
556,fake
557,real
558,real
559,real
560,real
561,real
562,real
563,real
564,real
565,fake
566,fake
567,fake
568,real
569,real
570,real
571,real
572,fake
573,real
574,real
575,real
576,real
577,real
578,real
579,fake
580,real
581,real
582,real
583,real
584,fake
585,real
586,real
587,real
588,fake
589,real
590,real
591,real
592,real
593,real
594,real
595,fake
596,real
597,real
598,fake
599,real
600,real
601,real
602,real
603,fake
604,real
605,fake
606,real
607,real
608,real
609,real
610,real
611,real
612,real
613,real
614,fake
615,real
616,real
