Id,Predictions
0,fake
1,real
2,fake
3,real
4,real
5,real
6,real
7,real
8,fake
9,fake
10,real
11,real
12,real
13,real
14,real
15,fake
16,real
17,fake
18,real
19,real
20,real
21,real
22,fake
23,real
24,fake
25,fake
26,real
27,fake
28,real
29,fake
30,fake
31,fake
32,real
33,real
34,real
35,fake
36,real
37,real
38,real
39,real
40,fake
41,fake
42,fake
43,real
44,fake
45,real
46,real
47,real
48,fake
49,fake
50,real
51,real
52,fake
53,real
54,real
55,fake
56,fake
57,fake
58,real
59,fake
60,real
61,fake
62,fake
63,fake
64,real
65,real
66,real
67,real
68,real
69,fake
70,fake
71,fake
72,real
73,real
74,fake
75,real
76,real
77,real
78,real
79,real
80,real
81,fake
82,real
83,fake
84,real
85,fake
86,fake
87,fake
88,real
89,real
90,fake
91,fake
92,real
93,fake
94,real
95,fake
96,real
97,real
98,fake
99,real
100,fake
101,real
102,real
103,real
104,real
105,fake
106,real
107,real
108,real
109,fake
110,real
111,fake
112,real
113,real
114,real
115,real
116,fake
117,fake
118,fake
119,real
120,real
121,real
122,fake
123,real
124,fake
125,fake
126,fake
127,real
128,fake
129,fake
130,fake
131,real
132,fake
133,real
134,real
135,fake
136,fake
137,real
138,real
139,fake
140,fake
141,real
142,fake
143,real
144,real
145,fake
146,fake
147,fake
148,real
149,real
150,fake
151,fake
152,real
153,real
154,fake
155,fake
156,real
157,real
158,fake
159,real
160,fake
161,fake
162,fake
163,fake
164,fake
165,real
166,real
167,fake
168,fake
169,fake
170,real
171,fake
172,real
173,real
174,real
175,fake
176,real
177,real
178,real
179,real
180,fake
181,fake
182,fake
183,real
184,real
185,fake
186,real
187,real
188,real
189,fake
190,fake
191,real
192,real
193,fake
194,real
195,real
196,real
197,real
198,fake
199,fake
200,real
201,fake
202,real
203,fake
204,fake
205,real
206,real
207,fake
208,real
209,fake
210,fake
211,real
212,real
213,real
214,real
215,fake
216,fake
217,real
218,real
219,real
220,fake
221,real
222,real
223,fake
224,real
225,fake
226,real
227,fake
228,fake
229,fake
230,fake
231,real
232,fake
233,fake
234,fake
235,real
236,real
237,fake
238,fake
239,real
240,fake
241,real
242,fake
243,fake
244,real
245,real
246,real
247,real
248,real
249,real
250,real
251,fake
252,real
253,real
254,real
255,real
